,tahun,provinsi,kota,kecamatan,kelurahan,usia,gender,total
100,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,20-24,Laki-laki,134
101,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,25-29,Laki-laki,121
102,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,30-34,Laki-laki,118
103,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,35-39,Laki-laki,128
104,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,40-44,Laki-laki,122
105,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,45-49,Laki-laki,112
106,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,50-54,Laki-laki,117
107,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,55-59,Laki-laki,102
108,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,60-64,Laki-laki,49
109,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,65-69,Laki-laki,47
110,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,70-74,Laki-laki,21
111,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,75+,Laki-laki,19
112,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,00-04,Laki-laki,521
113,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,05-09,Laki-laki,668
114,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,01-10,Laki-laki,648
115,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,15-19,Laki-laki,636
116,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,20-24,Laki-laki,660
117,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,25-29,Laki-laki,682
118,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,30-34,Laki-laki,633
119,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,35-39,Laki-laki,778
120,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,40-44,Laki-laki,703
121,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,45-49,Laki-laki,683
122,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,50-54,Laki-laki,685
123,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,55-59,Laki-laki,594
124,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,60-64,Laki-laki,489
